id,snum,dnum,api00,api99,growth,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,enroll,mealcat
117,2087,401,476,430,46,90,70,1,10,18,29,28,43,14,14,1,2.18,71.01,25,852
118,1946,401,821,767,54,21,4,1.27,12,18,29,4,25,22,35,14,3.31,76,12,405
119,1821,401,412,379,33,100.01,77,1,8,19,29,67.01,21,8,4,1,1.5,62,28,1264
120,1881,401,394,382,12,99.01,42,1,22,17,26,29,35,23,11,3,2.23,68.01,24,629
121,1862,401,815,785,30,24,18,8.56,15,18,30,10,9,10,32,39,3.81,100.01,2.25,300
122,1932,401,694,631,63,56,24,5.82,24,18,30,18,36,16,25,5,2.64,81,12,361
123,1919,401,433,425,8,100,74,1,15,19,31,49,29,9,5,8,1.96,50,36,859
124,1788,401,560,504,56,72,1,2.3,26,17,27,3,6,52,27,13,3.39,73.01,19,321
125,1664,401,572,535,37,76.01,44,3.91,12,18,25,19,26,24,22,8,2.73,90.01,7,380
126,1885,401,605,600,5,68.01,31,8.16,15,17,24,11,19,15,52,3,3.16,81,19,277
127,1682,401,755,716,39,27,2,6.47,10,16,31,1,18,34,29,19,3.48,84,8,283
128,1853,401,475,415,60,95,64,2.09,21,20,28,32,36,18,11,2,2.14,67.01,29,307
129,2082,401,520,476,44,95,53,1,27,18,29,43,30,17,7,3,1.97,48,42,1036
130,1806,401,406,367,39,100,75.01,1,15,19,32,1.91,100,4.58,3.28,2.45,2,59,33,699
131,1997,401,471,416,55,99,46,1,15,19,33,36,27,15,13,9,2.31,64,30,743
132,1701,401,664,594,70,52,22,1.66,19,16,31,4,17,28,38,13,3.39,64,20,371
133,1926,401,457,399,58,91,74,1,31,20,28,45,36,11,8,1,1.84,66.01,23,1059
134,1633,401,584,501,83,97,61,1.31,15,14,25,52,43,2,3,2.43,1.56,86,7,244
135,1690,401,735,693,42,71,24,1.66,10,18,27,7,17,17,31,29,3.58,80,7,388
136,1696,401,536,508,28,77,9,1.66,18,19,29,7,25,28,36,4,3.05,50,35,528
137,1775,401,771,708,63,31,11,8.77,16,17,28,10,26,23,26,14,3.07,81,15,328
138,1673,401,483,436,47,100,76,5.19,12,19,31,31,33,14,16,5,2.3,59,26,492
139,1863,401,387,338,49,96.01,80.01,1,14,19,28,67.01,21,7,4,1,1.5,53,32,1013
140,1990,401,650,611,39,75.01,64.01,1,9,20,28,19,24,13,38,6,2.88,80,10,848
141,1752,401,467,442,25,100.01,70.01,2.42,16,19,28,52,32,9,6,1,1.73,77.01,17,621
142,1782,401,548,512,36,70.01,59,3.38,14,16,34,13,31,17,30,9,2.9,83.01,17,336
143,1995,401,756,717,39,17,4,2.73,14,19,31,5,48,10,32,6,2.85,90,10,455
144,1638,401,440,403,37,97.01,54,2.15,20,18,30,26,27,12,32,1,2.55,45,39,1149
145,1815,401,581,548,33,100.01,63,6.2,23,19,24,43,35,12,8,2,1.92,80.01,12,290
146,1709,401,515,487,28,96.01,66.01,2.68,18,19,27,9,21,18,29,24,3.38,61,21,726
147,1812,401,917,902,15,6,3,1.69,8,17,31,1,2,7,37,54,4.41,95,2.63,436
148,1742,401,657,615,42,63,23,2.43,22,16,30,19,19,29,29,3,2.77,63,27,403
149,1799,401,723,673,50,41,11,1,15,18,31,11,34,19,30,7,2.87,85,9,807
150,1907,401,506,482,24,79.01,7,4.58,24,17,27,46,25,16,12,1,1.96,56,38,637
151,1924,401,569,514,55,76,28,2,13,16,24,14,40,22,22,3,2.6,73.01,27,306
152,1781,401,466,442,24,94.01,13,3.35,16,18,29,8,31,33,25,3,2.84,73.01,29,715
153,1897,401,660,624,36,55,31,2.19,14,18,29,12,20,19,31,18,3.22,80,15,559
154,1596,401,536,456,80,95.01,70,1,13,20,29,28,43,19,7,2,2.12,61,24,514
155,1868,401,486,422,64,96.01,75,1,16,19,30,79.01,17,3,2,1.47,1.28,47,53,617
156,1909,401,453,423,30,98,53,8.64,13,18,29,19,36,17,25,4,2.57,61,30,570
157,1600,401,683,631,52,63,5,3.34,21,17,28,3,20,22,48,7,3.37,64,30,428
158,1894,401,459,426,33,99.01,69.01,1,8,19,24,46,29,13,7,4,1.94,77,25,833
159,1895,401,456,415,41,95.01,65,1,20,18,29,98.01,1,1,1,7.29,1.06,58,28,821
160,1889,401,612,555,57,83.01,20,2.13,19,19,27,2,48,25,15,11,2.85,81.01,6,259
161,1741,401,387,365,22,99.01,75,1,21,18,28,23,41,13,16,7,2.43,66.01,28,761
162,1769,401,420,407,13,98.01,91.01,1,31,19,30,49,35,10,6,1,1.75,67,23,1529
163,1941,401,495,451,44,96.01,41,1,21,18,29,2.13,100.01,4.31,1.7,2.43,2,57,30,1127
164,1744,401,552,491,61,97.01,86.01,1,10,19,28,32,30,21,16,2,2.26,69.01,27,1009
165,1680,401,744,737,7,31,2,9.24,22,16,29,1,6,21,55,16,3.78,81,11,326
166,1858,401,477,424,53,98,56,1.45,22,19,28,10,48,10,33,6.83,2.67,42,39,446
167,2074,401,474,427,47,89.01,64,1.71,28,19,27,44,30,18,5,4,1.94,75,17,450
168,1949,401,696,636,60,66.01,22,1.03,17,16,29,11,44,25,19,2,2.57,96.01,11,373
169,1903,401,592,489,103,100.01,67,4.51,8,18,27,42,21,19,16,3,2.18,80.01,10,443
170,1651,401,650,599,51,73.01,40,2.42,7,19,29,7,25,16,43,10,3.24,56,33,722
171,1723,401,369,354,15,99,83,1,16,19,31,74.01,18,7,1,2.13,1.34,60,33,1009
172,1783,401,437,377,60,99.01,90,1,9,19,28,71.01,19,5,4,1,1.44,65,31,943
173,1634,401,551,505,46,76,59,2.17,16,16,28,2.13,50,25,25,6.89,2.75,67,24,167
174,2088,401,429,419,10,92.01,78.01,1,15,19,26,61,23,10,4,3,1.66,62.01,26,768
175,1925,401,435,425,10,98.01,72,1,14,18,27,41,28,17,13,2,2.06,73.01,21,965
176,1851,401,747,735,12,47,14,5.12,19,18,24,7,29,28,25,10,3.02,95,5,239
177,1616,401,512,480,32,88.01,27,7.21,13,16,22,10,24,35,30,2,2.9,85.01,19,297
178,2092,401,474,423,51,98,65.01,1,14,18,28,32,32,23,6,6,2.22,52,33,587
179,1652,401,850,832,18,12,5,8.29,5,18,31,3,5,13,38,41,4.08,94.01,6,235
180,1820,401,551,504,47,83,37,1,17,19,28,29,37,15,17,3,2.28,76,17,651
181,1791,401,482,441,41,100,67.01,1,35,18,29,42,32,17,9,2.43,1.93,75,21,787
182,1677,401,534,482,52,100.01,49,8.83,22,19,25,43,41,12,3,1,1.77,67,21,259
183,1836,401,506,462,44,87.01,22,1.19,22,18,23,22,47,25,5,1,2.13,72.01,17,213
184,1743,401,556,508,48,86.01,56,2.47,18,18,27,46,31,2,16,4,2.02,81.01,14,372
185,1801,401,457,395,62,100,59,1,21,19,27,18,52,14,16,1.79,2.29,79.01,21,333
186,1678,401,497,440,57,95.01,66.01,1,18,19,30,45,36,11,8,6.8,1.82,67.01,33,1112
187,1731,401,719,684,35,79.01,48,2.17,15,19,32,7,19,28,34,13,3.26,69,23,367
188,1961,401,582,538,44,89.01,67.01,1,26,19,27,26,17,16,28,13,2.84,68,32,401
189,1900,401,486,453,33,96.01,84.01,1,19,19,26,48,27,13,11,1,1.89,69,27,739
190,1740,401,521,452,69,99.01,64,5.32,12,18,29,49,25,17,7,1,1.87,79,15,484
191,1977,401,386,358,28,96.01,65,1,23,19,25,40,60,2.45,1.2,6.82,1.6,46.01,42,364
192,1952,401,397,333,64,98,84.01,1,8,19,27,33,2.47,6.82,67.01,6.82,3,54,40,1004
193,1625,401,631,604,27,65.01,18,2.36,23,18,27,13,24,31,25,6,2.86,82.01,15,464
194,1994,401,428,396,32,97.01,43,1,24,19,30,37,30,14,18,1,2.16,59,39,922
195,1978,401,894,860,34,13,1,2.85,22,19,26,1,21,19,43,15,3.5,93,5,615
196,1805,401,421,399,22,99.01,86,1,9,18,29,67.01,6.8,2.13,1.36,33,2.33,83,12,1081
197,1704,401,524,511,13,97.01,53,1,9,17,26,39,29,16,13,2,2.09,61,33,338
198,1597,401,532,506,26,100,74.01,1,7,19,29,42,26,15,15,3,2.13,75.01,20,1007
199,1872,401,674,634,40,72.01,44,2.03,7,17,21,58,34,5,2,1,1.53,57,36,151
200,1729,401,589,511,78,82.01,43,2.02,20,18,25,43,30,15,10,2,1.97,73.01,18,245
201,1612,401,437,363,74,97.01,71,1,25,19,29,89.01,11,2.24,2.02,2.47,1.11,51,37,704
202,1621,401,717,667,50,72.01,29,4.25,20,18,29,33,36,12,17,2,2.2,90.01,10,236
203,1763,401,586,539,47,80.01,50,2.42,19,19,27,39,41,12,8,1,1.9,79.01,24,499
204,1854,401,470,444,26,98,45,4.49,17,19,29,28,56,12,3,1,1.94,50,31,703
205,1611,401,474,415,59,100,73.01,1,12,19,31,41,35,15,7,1,1.92,65,26,738
206,1778,401,699,660,39,67.01,35,2.17,21,19,27,6,12,20,46,16,3.54,70.01,17,665
207,1615,401,657,625,32,75.01,6,9.62,26,18,26,4,23,25,36,12,3.29,81.01,22,508
208,1795,401,759,725,34,33,18,3.08,19,14,29,2,39,18,34,7,3.05,94.01,13,355
209,2080,401,493,484,9,82.01,67,1,20,19,28,37,33,14,13,2,2.09,65.01,29,1570
210,1671,401,853,812,41,37,16,3.15,15,18,34,2,6,11,29,53,4.25,92.01,8,311
211,416,473,866,836,30,1,1,5.28,11,22,33,2.13,2,18,51,30,4.07,100,3,517
212,425,473,657,593,64,45,11,1.07,16,21,31,10,24,40,19,7,2.9,100,3,510
213,419,473,850,808,42,12,5,3.2,13,21,33,5,7,27,40,22,3.68,100.01,3,422
214,402,473,893,845,48,7,4,1.14,16,20,30,2.13,3,14,39,43,4.22,93.01,4,382
215,430,473,745,663,82,17,3,1.14,17,20,33,4,26,42,23,5,3,89.01,11,240
216,406,473,719,670,49,31,6,2.6,17,21,30,6,25,34,26,8,3.05,100.01,2.34,384
217,412,473,783,725,58,46,5,2.46,21,20,29,7,35,38,15,5,2.77,100,4,333
218,413,473,615,523,92,75.01,36,6.89,17,22,29,1.91,1.71,2.1,1.02,8.74,0,91.01,15,419
219,3070,491,479,443,36,91.01,82.01,2.34,14,20,28,55,21,16,6,2,1.79,94.01,6,396
220,3072,491,763,769,-6,15,19,2.11,18,19,0,7,18,36,27,11,3.17,100,2.34,187
221,3060,491,669,670,-1,48,40,1.64,19,18,28,20,17,33,20,10,2.83,91,13,235
222,3051,491,892,882,10,3,1,1.76,20,19,30,1.91,4,10,38,48,4.29,100,2.51,523
223,3055,491,590,587,3,66.01,52,2.13,10,19,0,30,23,26,15,6,2.46,87.01,13,198
224,194,507,514,527,-13,76.01,48,2.43,16,19,30,31,44,16,8,1,2.03,76,2,602
225,211,507,386,360,26,75,48,1,14,20,29,34,42,21,4,2.38,1.94,57,22,413
226,182,507,411,413,-2,81,45,6.88,22,19,28,12,57,22,8,1,2.3,64.01,29,494
227,167,507,774,757,17,69.01,51,2.59,7,19,26,19,30,24,20,8,2.67,95,2.36,255
228,203,507,844,827,17,11,2,2.27,6,19,29,4,25,24,31,16,3.29,100,6.82,179
229,187,507,498,480,18,77.01,30,2.42,19,20,30,31,32,31,5,1,2.13,78.01,11,322
230,201,507,624,558,66,59,16,2.24,13,18,29,20,31,31,12,5,2.5,100,6.89,191
231,210,507,432,430,2,90.01,29,8.7,17,19,29,11,32,19,35,4,2.88,58,25,595
232,184,507,435,445,-10,87.01,70,1,4,19,30,51,24,17,5,3,1.85,69,15,643
233,165,507,449,434,15,71,21,2.3,19,20,31,30,55,9,6,8.8,1.92,45,31,367
234,181,507,724,714,10,15,3,5.61,18,21,29,2,15,32,34,18,3.51,93,7,196
235,198,507,894,859,35,9,2,3.35,7,20,30,2.13,13,17,34,36,3.92,95,5,213
236,2240,541,599,541,58,76.01,12,2.02,20,19,24,2.12,2.11,2.04,1.03,2.15,0,61,44,198
237,2247,541,508,486,22,77.01,43,2.24,16,20,28,1.91,2.3,6.82,2.2,1.91,0,44,48,333
238,2267,570,897,888,9,11,1,2.15,13,22,31,1,28,23,39.01,8,3.25,75,25,547
239,2278,570,457,404,53,93.01,62,1,16,21,30,47,32,16,3,1,1.79,53,44,684
240,2282,570,582,553,29,64.01,25,1.7,20,21,31,19,30,28,17,6,2.61,86,14,312
241,4448,575,903,884,19,2,12,2.2,7,20,28,1,2,10,40,47,4.32,100,9.85,696
242,4435,575,863,839,24,5,10,9.02,12,18,33,2.14,4,16,40,40,4.16,100.01,7,393
243,4449,575,844,848,-4,3,13,2.44,15,19,28,2.14,3,21,41,34,4.05,100.01,2.03,462
244,4431,575,858,826,32,6,5,2.34,21,20,29,2.12,6,24,38,31,3.94,100,2,672
245,4427,575,802,784,18,21,11,2.1,11,18,32,8,9,35.01,29,20,3.43,100.02,2.36,541
246,4443,575,875,848,27,4,9,2.07,9,19,29,2.14,2,16,43,38,4.17,100,2.12,606
247,3698,600,720,643,77,55,9,2.3,19,18,26,10,68,18,5,2.12,2.17,100,4,332
248,3696,600,483,450,33,89.01,43,6.87,38,19,27,46,44,8,3,2.42,1.69,100.01,6.82,334
249,3715,600,696,636,60,50,11,9.84,23,19,30,6,64.01,23,6,1.25,2.32,100.01,2.15,495
250,3697,600,690,653,37,65,5,2.13,26,21,25,2,90.01,7,1,6.48,2.07,100,2.32,319
251,3700,600,717,665,52,77,11,2.24,29,19,27,28,42,24,6,2.17,2.08,100,6.88,351
252,3701,600,687,617,70,62,18,9.8,19,21,26,5,65.01,25,4,1,2.3,100,2.36,318
253,3518,605,623,564,59,60,23,2.11,16,19,27,25,31,28,14,3,2.4,94,16,384
254,3511,605,688,662,26,40,10,6.87,23,20,28,15,18,38,17,13,2.96,92.01,11,554
255,3520,605,643,575,68,63,29,1,19,19,27,24,20,28,10,17,2.76,87.01,23,573
256,3516,605,574,519,55,65,21,2.13,24,20,29,24,26,36.01,10,4,2.44,84.01,16,243
257,3525,605,632,568,64,51,18,1,19,19,31,21,27,33,12,7,2.57,91.01,15,555
258,3537,605,694,678,16,12,4,1,15,19,29,3,12,41,27,17,3.41,89.01,16,617
259,3519,605,532,525,7,62,36,2.49,19,19,34,39,29,22,6,3,2.06,87,23,541
260,3523,605,657,618,39,48,14,1.71,23,20,32,14,33,42,7,4,2.54,89.01,17,515
261,3535,605,705,673,32,20,6,2.12,15,19,30,7,19,38,18,19,3.24,96,11,490
262,3765,620,758,701,57,45,10,2.86,21,22,34,2.12,46,25,23,5,2.87,94.01,12,207
263,3736,620,556,542,14,61,46,2.8,39.01,22,25,22,26,30,20,3,2.57,96.01,15,657
264,3785,620,459,439,20,98,52,2.8,36,19,27,31,29,22,17,1,2.28,100.01,17,645
265,3741,620,573,516,57,100,51,2.8,31,20,32,37,31,15,16,2,2.14,100,6,434
266,3757,620,707,667,40,57,11,2.8,22,21,31,4,15,46,23,12,3.23,100.01,11,309
267,3751,620,592,533,59,100,22,2.8,35,20,30,2.14,85.01,11,2,2,2.22,100,13,222
268,3791,620,724,674,50,49,20,2.8,24,19,35,2.12,22,33,36,9,3.33,100,11,401
269,3772,620,829,824,5,22,7,2.8,14,19,33,10,26,21,30,13,3.09,100.01,2.46,329
270,3758,620,690,642,48,98.01,51,1.91,10,20,28,28,25,28,15,4,2.4,100.01,5,230
271,3794,620,610,540,70,100.01,47,1.76,31,20,23,75.01,15,2.15,1.85,10,1.55,100.01,18,170
272,3793,620,528,460,68,99.01,35,2.09,27,18,33,19,41,30,8,3,2.36,96.01,4,358
273,3759,620,585,556,29,54,11,6.82,27,25,37,8,31,22,29,10,3.02,100.01,8,133
274,3784,620,859,801,58,18,1,2.46,9,21,33,2.14,7,17,35,42,4.12,100.01,2.22,406
275,3754,620,732,672,60,63,8,2.07,37,19,30,16,36,24,22,2,2.59,100.01,9,292
276,3196,621,799,762,37,21,8,6.89,12,19,32,15,43,21,16,5,2.54,98,3,560
